,date,stock,day_0,day_-1,day_-2,day_-3,day_-4,day_-5,day_-6,day_-7,day_-8,day_-9,day_-10,day_-11,day_-12,day_-13,day_-14,day_-15,day_-16,day_-17,day_-18,day_-19
351,2019-12-04,BP share price,18,16,66,68,72,100,82,15,16,81,65,92,92,83,23,10,82,81,72,81
352,2019-12-03,BP share price,75,18,11,76,91,81,98,79,11,15,83,78,96,100,82,17,13,86,90,77
353,2019-12-02,BP share price,100,80,16,8,63,78,62,82,75,16,13,76,58,78,81,64,15,10,71,77
354,2019-11-29,BP share price,75,100,77,85,62,12,10,65,70,46,73,67,14,12,72,62,75,61,64,10
355,2019-11-28,BP share price,7,77,100,71,83,66,14,9,63,70,50,62,71,9,13,68,61,67,78,62
356,2019-11-27,BP share price,16,14,75,100,79,80,78,17,5,49,62,56,69,59,11,13,65,56,76,75
357,2019-11-26,BP share price,89,14,9,71,100,80,74,69,15,12,64,60,57,67,67,10,11,69,62,76
358,2019-11-25,BP share price,97,89,18,9,97,100,86,93,80,11,9,76,66,67,75,86,9,9,93,62
359,2019-11-22,BP share price,51,100,74,58,64,10,5,55,71,57,54,51,10,8,45,51,49,57,51,8
360,2019-11-21,BP share price,3,52,100,70,60,69,9,10,59,77,48,74,56,10,12,44,46,43,57,54
361,2019-11-20,BP share price,8,5,71,100,82,69,79,10,8,68,86,70,71,66,12,10,51,63,58,69
362,2019-11-19,BP share price,64,8,6,58,100,69,59,69,9,11,53,79,66,63,61,9,10,49,44,54
363,2019-11-18,BP share price,52,58,9,4,50,100,70,57,61,11,5,53,75,54,68,60,12,8,43,58
364,2019-11-15,BP share price,50,59,47,61,51,7,6,53,100,65,59,68,11,9,64,70,57,66,49,15
365,2019-11-14,BP share price,7,56,50,54,58,60,7,7,53,100,74,59,66,10,10,51,79,66,75,58
366,2019-11-13,BP share price,10,8,57,51,50,62,61,8,4,54,100,75,56,56,9,10,61,75,63,57
367,2019-11-12,BP share price,62,16,9,59,57,57,77,72,10,7,54,100,80,70,92,9,12,67,85,71
368,2019-11-11,BP share price,55,48,11,4,58,54,46,72,62,11,6,55,100,74,66,57,10,6,61,77
369,2019-11-08,BP share price,58,65,66,72,57,18,11,64,65,59,77,77,9,2,66,100,78,79,63,10
370,2019-11-07,BP share price,8,47,51,49,49,48,11,4,48,56,51,64,56,8,6,50,100,69,62,62
371,2019-11-06,BP share price,13,10,55,53,54,59,59,10,6,66,60,58,62,72,8,7,53,100,71,58
372,2019-11-05,BP share price,69,16,11,61,69,62,59,49,7,10,63,64,61,74,61,10,9,56,100,79
373,2019-11-04,BP share price,50,57,10,7,44,52,53,55,49,10,4,51,47,53,62,58,7,6,54,100
374,2019-11-01,BP share price,56,48,56,49,58,15,9,45,49,55,55,57,8,6,62,50,54,59,66,9
375,2019-10-31,BP share price,10,47,60,62,48,64,8,8,59,57,65,65,50,14,9,55,57,60,70,59
376,2019-10-30,BP share price,15,8,52,56,64,47,62,17,10,55,48,67,61,52,11,7,55,59,56,69
377,2019-10-29,BP share price,75,18,8,58,55,57,48,63,13,11,55,52,64,59,58,8,7,54,60,53
378,2019-10-28,BP share price,64,100,21,10,78,87,89,61,91,16,13,74,86,68,79,64,13,7,59,69
379,2019-10-25,BP share price,81,77,81,82,100,23,13,78,77,86,64,85,24,16,81,84,98,73,68,23
380,2019-10-24,BP share price,15,71,78,69,62,100,21,5,78,55,85,56,72,16,15,78,72,57,68,67
381,2019-10-23,BP share price,20,16,77,80,68,85,100,28,9,79,76,91,64,89,26,15,75,88,73,82
382,2019-10-22,BP share price,85,19,11,79,78,70,91,100,25,8,71,77,77,78,86,22,11,66,63,78
383,2019-10-21,BP share price,81,81,25,13,89,87,69,97,100,27,10,86,79,84,79,91,19,17,81,79
384,2019-10-18,BP share price,76,78,70,73,73,19,10,85,88,79,89,100,21,13,72,77,81,68,86,20
385,2019-10-17,BP share price,14,78,85,81,75,85,17,12,83,78,76,72,100,21,7,74,99,85,67,94
386,2019-10-16,BP share price,17,11,68,70,66,68,79,15,15,73,61,70,75,100,20,8,67,76,73,55
387,2019-10-15,BP share price,73,13,8,64,72,59,63,54,12,17,68,60,66,67,100,17,5,56,65,79
388,2019-10-14,BP share price,98,100,18,14,65,78,77,71,69,17,17,81,74,75,84,95,24,11,76,82
389,2019-10-11,BP share price,100,73,47,50,39,8,8,38,36,37,41,32,9,6,47,37,35,51,50,10
390,2019-10-10,BP share price,8,100,70,53,42,47,10,8,32,31,32,32,33,7,10,38,34,37,40,46
391,2019-10-09,BP share price,9,10,100,73,49,44,38,14,7,40,34,34,33,39,8,8,46,38,41,44
392,2019-10-08,BP share price,39,14,13,100,73,59,57,53,8,10,47,45,49,40,38,7,13,44,40,42
393,2019-10-07,BP share price,41,35,14,10,100,76,53,46,50,12,7,46,46,38,39,45,6,5,41,44
394,2019-10-04,BP share price,36,33,39,40,36,9,10,100,65,44,46,43,8,6,41,40,38,40,40,12
395,2019-10-03,BP share price,5,31,33,40,38,32,10,10,100,71,48,44,49,10,5,41,36,37,45,40
