,Date,Stock_name,change_day_0,volume_day_0,sentiment_day_0,change_day_-1,volume_day_-1,sentiment_day_-1,change_day_-2,volume_day_-2,sentiment_day_-2,change_day_-3,volume_day_-3,sentiment_day_-3,change_day_-4,volume_day_-4,sentiment_day_-4,change_day_-5,volume_day_-5,sentiment_day_-5,change_day_-6,volume_day_-6,sentiment_day_-6,change_day_-7,volume_day_-7,sentiment_day_-7,change_day_-8,volume_day_-8,sentiment_day_-8,change_day_-9,volume_day_-9,sentiment_day_-9,change_day_-10,volume_day_-10,sentiment_day_-10,change_day_-11,volume_day_-11,sentiment_day_-11,change_day_-12,volume_day_-12,sentiment_day_-12,change_day_-13,volume_day_-13,sentiment_day_-13,change_day_-14,volume_day_-14,sentiment_day_-14,change_day_-15,volume_day_-15,sentiment_day_-15,change_day_-16,volume_day_-16,sentiment_day_-16,change_day_-17,volume_day_-17,sentiment_day_-17,change_day_-18,volume_day_-18,sentiment_day_-18,change_day_-19,volume_day_-19,sentiment_day_-19
0,2019-10-31,FTSE,-0.24263804077923684,0.49253888489346376,10,0.07214367772296518,0.3905830466437431,81,-0.07361599767649507,0.4125638053450557,82,0.020022976243024813,0.3928200650774281,82,-0.011189056521845403,0.3371914090915139,83,0.199056507467279,0.4262915528977666,98,0.14193221864526434,0.4444712570818725,16,0.14399260389273344,0.46527787018227407,12,0.038280318791777436,0.4960108276828751,84,-0.09334422236632298,0.505141237682061,80,0.042107775545973336,0.654328443858763,84,-0.12838658751029833,0.5813402482434445,100,-0.0055945282609227015,0.6529284987920658,85,-0.0989401884397003,0.45356244560926084,13,0.17874021748351188,0.8760577667782048,9,0.05859804658799916,0.40675362367177936,89,0.06860953470951156,0.3381908884046861,77,-0.16107094022869844,0.40259603144946116,85,0.12514719605004163,0.3203907899616972,82,0.22909240964427083,0.3421135585374075,80
1,2019-11-01,FTSE,0.15901055498122935,0.33822191694681936,82,-0.24263804077923684,0.49253888489346376,86,0.07214367772296518,0.3905830466437431,80,-0.07361599767649507,0.4125638053450557,80,0.020022976243024813,0.3928200650774281,96,-0.011189056521845403,0.3371914090915139,16,0.199056507467279,0.4262915528977666,11,0.14193221864526434,0.4444712570818725,84,0.14399260389273344,0.46527787018227407,84,0.038280318791777436,0.4960108276828751,85,-0.09334422236632298,0.505141237682061,100,0.042107775545973336,0.654328443858763,89,-0.12838658751029833,0.5813402482434445,13,-0.0055945282609227015,0.6529284987920658,9,-0.0989401884397003,0.45356244560926084,87,0.17874021748351188,0.8760577667782048,76,0.05859804658799916,0.40675362367177936,89,0.06860953470951156,0.3381908884046861,83,-0.16107094022869844,0.40259603144946116,83,0.12514719605004163,0.3203907899616972,11
2,2019-11-04,FTSE,0.19817512843259752,0.3385607323572668,81,0.15901055498122935,0.33822191694681936,100,-0.24263804077923684,0.49253888489346376,16,0.07214367772296518,0.3905830466437431,10,-0.07361599767649507,0.4125638053450557,82,0.020022976243024813,0.3928200650774281,81,-0.011189056521845403,0.3371914090915139,84,0.199056507467279,0.4262915528977666,99,0.14193221864526434,0.4444712570818725,87,0.14399260389273344,0.46527787018227407,12,0.038280318791777436,0.4960108276828751,10,-0.09334422236632298,0.505141237682061,86,0.042107775545973336,0.654328443858763,77,-0.12838658751029833,0.5813402482434445,84,-0.0055945282609227015,0.6529284987920658,80,-0.0989401884397003,0.45356244560926084,80,0.17874021748351188,0.8760577667782048,11,0.05859804658799916,0.40675362367177936,9,0.06860953470951156,0.3381908884046861,88,-0.16107094022869844,0.40259603144946116,79
3,2019-11-05,FTSE,0.05418108672740945,0.39116120019098244,97,0.19817512843259752,0.3385607323572668,16,0.15901055498122935,0.33822191694681936,12,-0.24263804077923684,0.49253888489346376,83,0.07214367772296518,0.3905830466437431,85,-0.07361599767649507,0.4125638053450557,83,0.020022976243024813,0.3928200650774281,100,-0.011189056521845403,0.3371914090915139,88,0.199056507467279,0.4262915528977666,13,0.14193221864526434,0.4444712570818725,10,0.14399260389273344,0.46527787018227407,80,0.038280318791777436,0.4960108276828751,77,-0.09334422236632298,0.505141237682061,82,0.042107775545973336,0.654328443858763,85,-0.12838658751029833,0.5813402482434445,81,-0.0055945282609227015,0.6529284987920658,12,-0.0989401884397003,0.45356244560926084,8,0.17874021748351188,0.8760577667782048,87,0.05859804658799916,0.40675362367177936,83,0.06860953470951156,0.3381908884046861,77
4,2019-11-06,FTSE,0.025324190763205228,0.3593934349996493,18,0.05418108672740945,0.39116120019098244,12,0.19817512843259752,0.3385607323572668,81,0.15901055498122935,0.33822191694681936,79,-0.24263804077923684,0.49253888489346376,81,0.07214367772296518,0.3905830466437431,100,-0.07361599767649507,0.4125638053450557,84,0.020022976243024813,0.3928200650774281,11,-0.011189056521845403,0.3371914090915139,10,0.199056507467279,0.4262915528977666,85,0.14193221864526434,0.4444712570818725,75,0.14399260389273344,0.46527787018227407,82,0.038280318791777436,0.4960108276828751,81,-0.09334422236632298,0.505141237682061,80,0.042107775545973336,0.654328443858763,11,-0.12838658751029833,0.5813402482434445,8,-0.0055945282609227015,0.6529284987920658,80,-0.0989401884397003,0.45356244560926084,76,0.17874021748351188,0.8760577667782048,76,0.05859804658799916,0.40675362367177936,73
5,2019-11-07,FTSE,0.028562144411007316,0.38859669699425814,12,0.025324190763205228,0.3593934349996493,89,0.05418108672740945,0.39116120019098244,85,0.19817512843259752,0.3385607323572668,86,0.15901055498122935,0.33822191694681936,100,-0.24263804077923684,0.49253888489346376,94,0.07214367772296518,0.3905830466437431,13,-0.07361599767649507,0.4125638053450557,9,0.020022976243024813,0.3928200650774281,89,-0.011189056521845403,0.3371914090915139,78,0.199056507467279,0.4262915528977666,92,0.14193221864526434,0.4444712570818725,88,0.14399260389273344,0.46527787018227407,86,0.038280318791777436,0.4960108276828751,12,-0.09334422236632298,0.505141237682061,9,0.042107775545973336,0.654328443858763,91,-0.12838658751029833,0.5813402482434445,83,-0.0055945282609227015,0.6529284987920658,81,-0.0989401884397003,0.45356244560926084,84,0.17874021748351188,0.8760577667782048,83
6,2019-11-08,FTSE,-0.13839807563181072,0.3207364037605896,83,0.028562144411007316,0.38859669699425814,83,0.025324190763205228,0.3593934349996493,86,0.05418108672740945,0.39116120019098244,100,0.19817512843259752,0.3385607323572668,86,0.15901055498122935,0.33822191694681936,13,-0.24263804077923684,0.49253888489346376,9,0.07214367772296518,0.3905830466437431,83,-0.07361599767649507,0.4125638053450557,78,0.020022976243024813,0.3928200650774281,82,-0.011189056521845403,0.3371914090915139,80,0.199056507467279,0.4262915528977666,83,0.14193221864526434,0.4444712570818725,10,0.14399260389273344,0.46527787018227407,8,0.038280318791777436,0.4960108276828751,87,-0.09334422236632298,0.505141237682061,80,0.042107775545973336,0.654328443858763,77,-0.12838658751029833,0.5813402482434445,76,-0.0055945282609227015,0.6529284987920658,78,-0.0989401884397003,0.45356244560926084,12
7,2019-11-11,FTSE,-0.09098908556565699,0.48136372883122747,100,-0.13839807563181072,0.3207364037605896,83,0.028562144411007316,0.38859669699425814,12,0.025324190763205228,0.3593934349996493,10,0.05418108672740945,0.39116120019098244,84,0.19817512843259752,0.3385607323572668,77,0.15901055498122935,0.33822191694681936,84,-0.24263804077923684,0.49253888489346376,86,0.07214367772296518,0.3905830466437431,79,-0.07361599767649507,0.4125638053450557,12,0.020022976243024813,0.3928200650774281,9,-0.011189056521845403,0.3371914090915139,90,0.199056507467279,0.4262915528977666,80,0.14193221864526434,0.4444712570818725,79,0.14399260389273344,0.46527787018227407,75,0.038280318791777436,0.4960108276828751,78,-0.09334422236632298,0.505141237682061,13,0.042107775545973336,0.654328443858763,11,-0.12838658751029833,0.5813402482434445,82,-0.0055945282609227015,0.6529284987920658,83
8,2019-11-12,FTSE,0.1086569250080158,0.4384925683445767,100,-0.09098908556565699,0.48136372883122747,16,-0.13839807563181072,0.3207364037605896,12,0.028562144411007316,0.38859669699425814,97,0.025324190763205228,0.3593934349996493,88,0.05418108672740945,0.39116120019098244,95,0.19817512843259752,0.3385607323572668,98,0.15901055498122935,0.33822191694681936,91,-0.24263804077923684,0.49253888489346376,13,0.07214367772296518,0.3905830466437431,9,-0.07361599767649507,0.4125638053450557,99,0.020022976243024813,0.3928200650774281,93,-0.011189056521845403,0.3371914090915139,89,0.199056507467279,0.4262915528977666,87,0.14193221864526434,0.4444712570818725,90,0.14399260389273344,0.46527787018227407,15,0.038280318791777436,0.4960108276828751,11,-0.09334422236632298,0.505141237682061,95,0.042107775545973336,0.654328443858763,93,-0.12838658751029833,0.5813402482434445,94
9,2019-11-13,FTSE,-0.04181302399277643,0.4042547220182544,14,0.1086569250080158,0.4384925683445767,11,-0.09098908556565699,0.48136372883122747,94,-0.13839807563181072,0.3207364037605896,86,0.028562144411007316,0.38859669699425814,97,0.025324190763205228,0.3593934349996493,92,0.05418108672740945,0.39116120019098244,91,0.19817512843259752,0.3385607323572668,13,0.15901055498122935,0.33822191694681936,9,-0.24263804077923684,0.49253888489346376,100,0.07214367772296518,0.3905830466437431,93,-0.07361599767649507,0.4125638053450557,87,0.020022976243024813,0.3928200650774281,88,-0.011189056521845403,0.3371914090915139,90,0.199056507467279,0.4262915528977666,15,0.14193221864526434,0.4444712570818725,11,0.14399260389273344,0.46527787018227407,96,0.038280318791777436,0.4960108276828751,93,-0.09334422236632298,0.505141237682061,97,0.042107775545973336,0.654328443858763,98
